customer_id,region,signup_date,mrr,tenure_months,churned
CUST-0080,West,2024-10-02,676.66,3,0
CUST-0081,West,2024-11-28,851.10,1,0
CUST-0082,South,2023-11-20,796.72,13,0
CUST-0083,North,2023-01-14,639.63,23,0
CUST-0084,East,2024-11-14,480.30,1,0
CUST-0085,West,2024-10-01,845.44,3,0
CUST-0086,South,2023-09-04,494.25,16,0
CUST-0087,North,2024-09-29,779.20,3,0
CUST-0088,South,2024-06-18,686.44,6,0
CUST-0089,South,2024-01-10,703.89,11,0
CUST-0090,West,2023-05-23,108.19,19,0
CUST-0091,East,2024-11-17,395.73,1,0
CUST-0092,South,2024-01-31,736.14,11,0
CUST-0093,East,2023-01-31,475.58,23,0
CUST-0094,West,2024-05-11,385.78,7,0
CUST-0095,South,2023-12-22,652.89,12,0
CUST-0096,West,2023-07-09,73.22,18,0
CUST-0097,North,2024-08-30,224.45,4,0
CUST-0098,East,2024-08-10,440.20,4,0
CUST-0099,South,2023-05-21,114.38,19,0
CUST-0100,East,2023-09-21,819.76,15,0
CUST-0101,West,2024-05-12,473.71,7,0
CUST-0102,West,2023-05-26,835.71,19,0
CUST-0103,North,2023-11-06,148.50,14,0
CUST-0104,North,2023-04-03,439.22,21,0
CUST-0105,South,2023-01-03,661.51,24,0
CUST-0106,West,2023-11-23,561.94,13,0
CUST-0107,South,2024-11-09,774.63,1,0
CUST-0108,South,2023-12-09,166.40,12,0
CUST-0109,South,2024-05-09,890.53,7,0
CUST-0110,South,2024-11-13,551.58,1,1
CUST-0111,East,2024-11-29,822.65,1,0
CUST-0112,East,2023-04-12,143.58,21,0
CUST-0113,East,2023-08-27,160.70,16,0
CUST-0114,North,2023-07-26,751.44,17,0
CUST-0115,South,2023-06-28,859.68,18,0
CUST-0116,West,2024-10-03,350.83,3,0
CUST-0117,East,2024-06-26,434.06,6,0
CUST-0118,West,2023-12-09,697.64,12,0
CUST-0119,South,2024-08-12,801.57,4,0
CUST-0120,South,2023-06-06,707.67,19,0
CUST-0121,West,2024-02-14,735.92,10,0
CUST-0122,South,2024-06-30,642.78,6,0
CUST-0123,West,2023-12-07,770.65,13,0
CUST-0124,South,2023-02-22,355.83,22,0
CUST-0125,West,2024-09-25,624.49,3,0
CUST-0126,South,2023-02-10,263.46,23,0
CUST-0127,East,2024-12-17,181.35,0,0
CUST-0128,North,2023-02-16,711.46,22,0
CUST-0129,South,2023-08-02,777.07,17,0
CUST-0130,West,2024-09-23,522.72,3,0
CUST-0131,South,2023-01-31,330.25,23,0
CUST-0132,North,2023-10-11,260.96,14,0
CUST-0133,East,2024-05-21,153.29,7,0
CUST-0134,South,2023-11-23,191.41,13,0
CUST-0135,West,2024-02-13,283.41,10,0
CUST-0136,East,2023-06-11,606.72,19,0
CUST-0137,West,2024-04-09,709.47,8,0
CUST-0138,West,2023-10-05,857.96,15,0
CUST-0139,North,2024-12-08,55.62,0,1
CUST-0140,North,2024-12-19,817.49,0,1
CUST-0141,North,2024-11-24,183.43,1,1
CUST-0142,East,2023-07-28,104.54,17,0
CUST-0143,East,2023-03-15,627.65,21,0
CUST-0144,West,2023-06-12,308.32,18,0
CUST-0145,East,2024-05-11,60.92,7,0
CUST-0146,North,2023-03-17,744.13,21,0
CUST-0147,East,2024-12-12,541.88,0,0
CUST-0148,East,2023-05-08,635.55,20,0
CUST-0149,East,2024-10-13,823.96,2,1
CUST-0150,West,2024-06-04,202.31,7,0
CUST-0151,North,2024-04-30,405.87,8,0
CUST-0152,East,2024-01-10,192.75,11,0
CUST-0153,East,2024-09-11,521.65,3,0
CUST-0154,North,2024-01-21,766.57,11,0
CUST-0155,South,2023-12-25,548.68,12,0
CUST-0156,North,2023-10-03,298.83,15,0
CUST-0157,East,2023-07-10,373.84,18,1
CUST-0158,East,2024-11-10,765.09,1,1
CUST-0159,West,2023-12-15,549.59,12,0
CUST-0160,North,2023-06-10,896.61,19,0
CUST-0161,West,2023-11-11,64.62,13,1
CUST-0162,North,2023-06-17,718.36,18,0
CUST-0163,West,2023-12-31,282.30,12,1
CUST-0164,East,2024-09-05,554.46,3,0
CUST-0165,West,2024-09-19,853.38,3,1
CUST-0166,South,2023-02-05,362.85,23,0
CUST-0167,North,2024-05-17,577.64,7,0
CUST-0168,South,2024-07-16,851.23,5,0
CUST-0169,North,2023-08-18,743.75,16,0
CUST-0170,North,2024-03-13,268.31,9,0
CUST-0171,North,2024-01-19,308.22,11,0
CUST-0172,North,2024-04-28,147.09,8,1
CUST-0173,East,2024-01-30,850.56,11,0
CUST-0174,North,2024-04-25,662.53,8,0
CUST-0175,North,2024-05-26,854.71,7,0
CUST-0176,East,2024-12-08,153.39,0,0
CUST-0177,West,2023-06-01,473.82,19,0
CUST-0178,North,2023-05-03,541.84,20,0
CUST-0179,South,2024-05-20,239.12,7,0
CUST-0180,West,2023-08-15,889.72,16,0
CUST-0181,North,2023-09-18,812.37,15,0
CUST-0182,North,2023-06-27,572.86,18,0
CUST-0183,South,2024-11-05,208.35,1,1
CUST-0184,North,2024-05-09,640.42,7,0
CUST-0185,West,2023-02-15,633.58,22,0
CUST-0186,South,2024-09-05,505.56,3,0
CUST-0187,South,2024-11-07,230.16,1,0
CUST-0188,South,2023-10-20,163.47,14,0
CUST-0189,North,2023-11-06,743.54,14,0
CUST-0190,South,2024-01-22,430.95,11,1
CUST-0191,East,2024-06-14,360.98,6,0
CUST-0192,North,2024-06-01,893.65,7,0
CUST-0193,North,2024-03-12,685.04,9,0
CUST-0194,South,2023-11-07,50.75,14,0
CUST-0195,West,2024-07-06,334.39,5,0
CUST-0196,South,2023-01-24,679.61,23,1
CUST-0197,South,2024-05-28,493.92,7,0
CUST-0198,East,2023-08-11,636.60,16,0
CUST-0199,West,2024-06-16,89.32,6,1
CUST-0200,West,2024-01-03,548.22,12,0
CUST-0201,East,2024-11-21,154.28,1,0
CUST-0202,East,2023-11-15,138.35,13,1
CUST-0203,South,2024-07-22,799.62,5,0
CUST-0204,South,2023-02-03,719.28,23,1
CUST-0205,East,2023-11-23,267.88,13,0
CUST-0206,East,2023-05-31,145.26,19,0
CUST-0207,North,2023-06-19,735.54,18,0
CUST-0208,North,2023-12-26,404.83,12,0
CUST-0209,South,2024-08-19,858.10,4,0
CUST-0210,North,2023-11-09,421.77,13,0
CUST-0211,South,2023-01-31,100.94,23,1
CUST-0212,North,2024-08-29,806.19,4,0
CUST-0213,East,2023-12-03,137.33,13,0
CUST-0214,West,2024-05-10,655.34,7,0
CUST-0215,West,2023-04-21,569.86,20,0
CUST-0216,North,2024-07-17,758.27,5,1
CUST-0217,East,2023-11-21,739.92,13,1
CUST-0218,South,2024-01-28,891.24,11,0
CUST-0219,West,2024-02-04,369.75,11,1
CUST-0220,West,2023-11-16,94.97,13,0
CUST-0221,North,2024-01-31,61.02,11,0
CUST-0222,North,2024-10-18,377.30,2,1
CUST-0223,West,2023-01-29,408.67,23,0
CUST-0224,North,2024-09-10,335.40,3,0
CUST-0225,South,2023-10-02,233.70,15,1
CUST-0226,West,2024-06-27,474.48,6,0
CUST-0227,North,2023-08-17,399.57,16,0
CUST-0228,East,2023-10-10,568.90,14,0
CUST-0229,South,2023-05-26,813.55,19,0
CUST-0230,East,2023-07-01,191.70,18,0
CUST-0231,North,2023-11-10,193.22,13,0
CUST-0232,South,2023-06-04,871.63,19,0
CUST-0233,West,2024-09-28,768.11,3,0
CUST-0234,East,2023-10-14,168.32,14,0
CUST-0235,North,2023-01-10,707.99,24,0
CUST-0236,East,2023-06-19,856.61,18,0
CUST-0237,North,2023-05-07,894.25,20,1
CUST-0238,West,2024-09-06,569.29,3,0
CUST-0239,North,2023-10-25,229.83,14,0
CUST-0240,South,2023-07-13,101.34,17,1
CUST-0241,South,2023-04-18,486.00,20,1
CUST-0242,West,2023-08-28,244.89,16,1
CUST-0243,North,2024-04-03,559.46,9,0
CUST-0244,South,2023-07-22,755.00,17,0
CUST-0245,West,2023-10-28,803.20,14,1
CUST-0246,West,2024-01-22,302.32,11,0
CUST-0247,South,2023-05-08,377.09,20,0
CUST-0248,West,2024-05-30,107.21,7,0
CUST-0249,North,2023-06-25,123.89,18,1
CUST-0250,East,2024-11-24,289.48,1,0
CUST-0251,North,2023-08-23,636.15,16,0
CUST-0252,East,2024-01-04,251.37,12,0
CUST-0253,East,2023-10-08,825.64,15,0
CUST-0254,North,2024-05-09,642.20,7,1
CUST-0255,South,2023-10-21,680.52,14,0
CUST-0256,North,2023-07-25,840.24,17,0
CUST-0257,East,2024-08-30,321.77,4,1
CUST-0258,West,2023-10-13,370.07,14,0
CUST-0259,North,2023-07-13,502.12,17,1
CUST-0260,South,2023-08-03,196.80,17,0
CUST-0261,South,2024-09-01,189.37,4,0
CUST-0262,East,2023-01-07,496.49,24,0
CUST-0263,East,2023-09-14,641.30,15,0
CUST-0264,South,2023-07-26,146.96,17,0
CUST-0265,South,2023-03-02,870.66,22,0
CUST-0266,South,2023-12-25,501.93,12,0
CUST-0267,East,2023-10-18,891.08,14,0
CUST-0268,West,2024-01-03,141.68,12,1
CUST-0269,South,2024-01-05,660.78,12,0
CUST-0270,West,2024-05-21,314.41,7,0
CUST-0271,South,2024-04-30,362.61,8,0
CUST-0272,East,2024-02-23,368.20,10,0
CUST-0273,North,2023-11-08,438.22,14,0
CUST-0274,West,2024-11-05,237.47,1,0
CUST-0275,South,2023-04-15,534.62,20,0
CUST-0276,North,2024-04-10,384.09,8,0
CUST-0277,East,2023-08-11,59.12,16,0
CUST-0278,West,2023-09-15,334.89,15,0
CUST-0279,North,2023-01-06,51.19,24,0
CUST-0280,North,2024-01-14,85.12,11,0
CUST-0281,South,2024-05-10,719.50,7,0
CUST-0282,North,2024-07-02,46.94,6,0
CUST-0283,North,2023-01-17,685.79,23,0
CUST-0284,North,2024-09-07,780.92,3,1
CUST-0285,South,2023-07-08,296.86,18,0
CUST-0286,West,2023-01-15,641.74,23,0
CUST-0287,North,2024-07-04,281.58,6,0
CUST-0288,West,2023-01-07,805.18,24,0
CUST-0289,West,2024-01-16,444.71,11,0
CUST-0290,East,2023-03-06,235.60,22,0
CUST-0291,West,2024-04-07,433.79,8,0
CUST-0292,North,2024-12-19,394.92,0,0
CUST-0293,South,2024-06-20,403.65,6,0
CUST-0294,West,2023-07-23,122.14,17,0
CUST-0295,East,2023-07-08,612.07,18,0
CUST-0296,West,2024-02-11,659.72,10,1
CUST-0297,East,2024-08-30,525.84,4,0
CUST-0298,West,2023-10-20,233.12,14,0
CUST-0299,East,2024-02-16,553.35,10,0
CUST-0300,South,2024-10-13,173.30,2,0
CUST-0301,East,2024-07-20,717.71,5,0
CUST-0302,North,2024-03-28,780.40,9,0
CUST-0303,North,2024-11-06,882.97,1,1
CUST-0304,North,2023-08-24,378.79,16,0
CUST-0305,South,2024-09-16,553.97,3,1
CUST-0306,North,2023-07-04,553.21,18,0
CUST-0307,South,2024-03-09,428.66,9,0
CUST-0308,North,2023-04-03,720.18,21,0
CUST-0309,North,2024-12-20,644.97,0,0
CUST-0310,East,2024-06-11,332.32,6,0
CUST-0311,West,2023-05-21,355.08,19,0
CUST-0312,West,2023-05-04,801.67,20,1
CUST-0313,North,2023-12-01,652.05,13,0
CUST-0314,East,2023-02-21,279.40,22,0
CUST-0315,East,2023-11-15,145.89,13,0
CUST-0316,South,2023-05-19,460.67,19,0
CUST-0317,West,2023-02-02,82.15,23,0
CUST-0318,West,2023-08-11,795.02,16,0
CUST-0319,North,2023-10-20,353.62,14,0
CUST-0320,North,2023-08-25,48.80,16,1
CUST-0321,North,2024-11-25,523.80,1,0
CUST-0322,South,2023-11-15,624.40,13,1
CUST-0323,South,2023-04-02,584.74,21,0
CUST-0324,West,2023-08-22,416.96,16,0
CUST-0325,West,2023-06-13,410.27,18,0
CUST-0326,North,2023-06-03,752.98,19,0
CUST-0327,West,2023-06-03,755.64,19,0
CUST-0328,South,2023-02-18,868.66,22,1
CUST-0329,East,2024-09-29,392.06,3,1
CUST-0330,South,2023-07-23,417.16,17,0
CUST-0331,West,2023-11-18,430.27,13,1
CUST-0332,South,2023-11-13,579.16,13,0
CUST-0333,West,2023-10-10,702.89,14,0
CUST-0334,North,2024-03-18,126.67,9,0
CUST-0335,West,2023-06-30,175.75,18,0
CUST-0336,North,2023-09-26,594.95,15,0
CUST-0337,North,2023-03-09,463.82,22,0
CUST-0338,West,2023-11-11,383.09,13,0
CUST-0339,East,2023-06-19,163.25,18,0
CUST-0340,East,2024-08-09,730.01,4,0
CUST-0341,West,2024-10-13,739.11,2,0
CUST-0342,East,2024-04-16,159.13,8,0
CUST-0343,East,2024-05-23,59.81,7,0
CUST-0344,East,2023-05-19,514.04,19,0
CUST-0345,West,2023-10-18,274.30,14,0
CUST-0346,North,2024-04-07,348.91,8,0
CUST-0347,South,2023-08-31,36.62,16,0
CUST-0348,South,2023-07-16,530.30,17,0
CUST-0349,East,2024-10-17,77.15,2,0
CUST-0350,West,2024-04-12,322.49,8,1
CUST-0351,West,2023-06-24,804.55,18,1
CUST-0352,South,2024-09-29,461.66,3,1
CUST-0353,South,2023-10-20,811.21,14,0
CUST-0354,North,2023-10-14,416.64,14,0
CUST-0355,North,2024-08-08,860.20,4,0
CUST-0356,South,2024-10-09,687.18,2,0
CUST-0357,West,2024-10-12,332.21,2,0
CUST-0358,North,2024-10-27,657.05,2,0
CUST-0359,East,2023-02-16,558.56,22,0
CUST-0360,North,2023-11-12,492.85,13,1
CUST-0361,East,2023-12-05,478.92,13,0
CUST-0362,North,2024-06-06,286.63,6,0
CUST-0363,East,2024-01-08,700.17,11,0
CUST-0364,East,2024-02-03,499.48,11,1
CUST-0365,East,2024-03-11,258.30,9,0
CUST-0366,East,2024-01-26,418.40,11,0
CUST-0367,East,2023-04-28,599.04,20,0
CUST-0368,South,2023-02-05,329.93,23,0
CUST-0369,North,2023-05-13,285.52,19,0
CUST-0370,South,2023-05-20,770.94,19,0
CUST-0371,North,2023-03-15,650.80,21,0
CUST-0372,East,2024-10-03,257.89,3,0
CUST-0373,South,2023-03-23,730.47,21,0
CUST-0374,South,2023-07-05,91.06,18,0
CUST-0375,South,2024-03-22,759.44,9,1
CUST-0376,East,2024-06-05,833.77,7,0
CUST-0377,West,2023-10-22,330.40,14,0
CUST-0378,East,2023-06-05,741.40,19,0
CUST-0379,East,2023-12-10,158.33,12,0
CUST-0380,West,2023-03-18,862.22,21,0
CUST-0381,West,2023-07-19,54.66,17,0
CUST-0382,East,2023-11-02,724.52,14,0
CUST-0383,North,2024-07-29,230.56,5,0
CUST-0384,East,2023-07-27,895.95,17,0
CUST-0385,North,2023-04-13,305.43,20,0
CUST-0386,North,2023-09-11,624.74,15,0
CUST-0387,East,2023-03-21,820.03,21,0
CUST-0388,West,2023-08-26,408.00,16,0
CUST-0389,South,2024-03-26,540.71,9,0
CUST-0390,West,2024-12-01,277.07,1,0
CUST-0391,North,2024-10-31,362.11,2,0
CUST-0392,West,2024-02-01,34.85,11,0
CUST-0393,East,2024-01-30,213.35,11,0
CUST-0394,South,2023-08-15,376.80,16,0
CUST-0395,West,2023-01-27,362.24,23,0
CUST-0396,North,2023-12-07,583.06,13,1
CUST-0397,South,2024-11-16,502.89,1,0
CUST-0398,North,2023-12-29,201.19,12,0
CUST-0399,East,2023-05-25,179.19,19,1
CUST-0400,North,2023-05-07,290.85,20,0
CUST-0401,North,2023-09-10,705.44,15,0
CUST-0402,North,2024-11-08,210.66,1,0
CUST-0403,North,2024-08-15,291.00,4,0
CUST-0404,North,2023-08-12,44.95,16,0
CUST-0405,West,2023-07-28,722.02,17,0
CUST-0406,East,2024-07-24,735.12,5,0
CUST-0407,North,2023-08-24,120.97,16,0
CUST-0408,East,2024-02-10,677.74,10,0
CUST-0409,East,2023-08-24,260.02,16,0
CUST-0410,North,2023-01-16,494.70,23,0
CUST-0411,West,2024-02-24,330.48,10,0
CUST-0412,East,2024-02-05,110.51,11,1
CUST-0413,West,2023-04-12,760.02,21,0
CUST-0414,North,2024-08-10,469.38,4,1
CUST-0415,East,2024-02-07,132.55,10,0
CUST-0416,North,2024-08-27,38.41,4,0
CUST-0417,East,2023-06-05,319.79,19,0
CUST-0418,North,2024-10-24,432.05,2,1
CUST-0419,West,2023-09-12,136.38,15,0
CUST-0420,East,2024-09-25,533.70,3,0
CUST-0421,South,2024-04-14,898.69,8,0
CUST-0422,East,2023-08-15,895.30,16,0
CUST-0423,East,2024-03-24,307.96,9,0
CUST-0424,West,2024-09-14,106.29,3,1
CUST-0425,South,2023-07-19,474.60,17,0
CUST-0426,West,2023-06-07,266.54,19,0
CUST-0427,North,2023-11-10,48.42,13,0
CUST-0428,West,2023-10-23,107.57,14,0
CUST-0429,South,2023-11-28,245.35,13,1
CUST-0430,East,2024-07-01,854.24,6,0
CUST-0431,East,2023-06-02,409.77,19,0
CUST-0432,North,2024-09-18,860.39,3,0
CUST-0433,East,2023-03-25,259.10,21,0
CUST-0434,North,2023-06-05,527.37,19,0
CUST-0435,North,2024-11-19,652.43,1,0
CUST-0436,West,2024-01-25,600.41,11,0
CUST-0437,North,2023-05-07,788.12,20,0
CUST-0438,South,2024-05-18,547.95,7,0
CUST-0439,East,2024-06-27,562.71,6,1
CUST-0440,East,2023-06-21,583.16,18,0
CUST-0441,West,2024-11-11,794.36,1,0
CUST-0442,East,2023-04-08,259.56,21,0
CUST-0443,East,2023-07-10,535.05,18,0
CUST-0444,North,2023-06-30,69.99,18,0
CUST-0445,West,2024-12-05,562.04,0,1
CUST-0446,South,2023-10-29,415.34,14,0
CUST-0447,South,2024-05-28,478.40,7,1
CUST-0448,South,2024-01-30,520.37,11,1
CUST-0449,South,2023-10-08,852.39,15,0
CUST-0450,South,2024-04-21,550.30,8,0
CUST-0451,South,2024-04-03,694.01,9,0
CUST-0452,West,2023-10-20,761.95,14,0
CUST-0453,South,2023-12-06,132.98,13,0
CUST-0454,South,2024-06-05,273.29,7,1
CUST-0455,East,2024-04-02,513.85,9,1
CUST-0456,North,2023-07-31,219.10,17,0
CUST-0457,South,2024-03-09,525.39,9,0
CUST-0458,South,2024-01-26,284.20,11,1
CUST-0459,East,2023-05-11,33.26,20,0
CUST-0460,North,2024-03-21,274.96,9,0
CUST-0461,North,2024-03-31,123.71,9,0
CUST-0462,East,2024-10-23,511.27,2,1
CUST-0463,West,2024-07-15,892.63,5,0
CUST-0464,South,2023-05-29,442.11,19,1
CUST-0465,West,2024-01-04,828.56,12,0
CUST-0466,West,2024-08-03,526.18,5,0
CUST-0467,West,2023-01-24,47.58,23,1
CUST-0468,South,2023-02-20,480.24,22,0
CUST-0469,North,2024-08-03,520.09,5,1
CUST-0470,East,2024-07-10,168.61,5,0
CUST-0471,South,2024-02-12,449.39,10,1
CUST-0472,East,2023-06-24,116.32,18,0
CUST-0473,North,2024-12-18,691.76,0,0
CUST-0474,South,2024-05-03,127.44,8,1
CUST-0475,East,2023-03-14,308.17,21,0
CUST-0476,South,2023-08-10,45.36,17,0
CUST-0477,South,2024-05-01,367.64,8,1
CUST-0478,East,2024-08-22,75.75,4,0
CUST-0479,East,2024-12-14,416.86,0,0
CUST-0480,South,2024-12-18,516.12,0,1
CUST-0481,South,2024-02-02,380.76,11,0
CUST-0482,East,2024-11-01,188.70,2,0
CUST-0483,South,2024-01-17,296.21,11,1
CUST-0484,West,2023-12-23,479.99,12,0
CUST-0485,South,2023-11-12,682.72,13,0
CUST-0486,West,2023-05-20,339.59,19,0
CUST-0487,West,2023-05-28,131.30,19,1
CUST-0488,South,2023-07-04,163.48,18,0
CUST-0489,South,2024-11-04,762.39,1,1
CUST-0490,North,2024-12-05,384.39,0,1
CUST-0491,South,2024-08-25,350.03,4,0
CUST-0492,East,2024-01-03,117.26,12,0
CUST-0493,East,2023-07-27,59.50,17,0
CUST-0494,East,2023-03-11,60.89,22,0
CUST-0495,West,2024-07-22,72.92,5,0
CUST-0496,South,2024-08-16,811.20,4,0
CUST-0497,South,2024-08-19,248.56,4,0
CUST-0498,North,2024-01-09,502.06,11,0
CUST-0499,North,2024-05-16,202.09,7,0
CUST-0500,West,2023-12-26,230.83,12,0
CUST-0501,North,2023-08-09,636.50,17,0
CUST-0502,West,2024-09-15,471.05,3,0
CUST-0503,East,2023-09-06,821.82,16,0
CUST-0504,East,2024-07-20,171.82,5,1
CUST-0505,East,2024-06-03,315.06,7,0
CUST-0506,West,2023-08-27,738.38,16,0
CUST-0507,South,2023-11-24,656.80,13,1
CUST-0508,West,2024-03-28,687.90,9,0
CUST-0509,West,2023-05-09,58.92,20,0
CUST-0510,South,2024-05-31,395.59,7,0
CUST-0511,West,2023-05-05,70.16,20,0
CUST-0512,East,2024-03-27,380.53,9,0
CUST-0513,West,2023-08-20,370.09,16,0
CUST-0514,South,2023-10-12,434.94,14,0
CUST-0515,East,2024-09-03,100.76,4,0
CUST-0516,East,2023-07-18,673.79,17,0
CUST-0517,West,2024-04-26,736.86,8,0
CUST-0518,South,2023-09-29,672.45,15,0
CUST-0519,East,2023-09-06,219.83,16,0
CUST-0520,East,2024-03-11,370.99,9,1
CUST-0521,South,2024-01-15,38.54,11,0
CUST-0522,North,2023-06-01,536.31,19,0
CUST-0523,North,2024-07-25,689.49,5,0
CUST-0524,West,2024-08-17,220.00,4,0
CUST-0525,West,2024-03-26,694.78,9,0
CUST-0526,North,2023-06-08,644.18,19,0
CUST-0527,East,2024-05-14,295.74,7,0
CUST-0528,West,2024-11-29,678.45,1,1
CUST-0529,South,2023-02-25,355.14,22,0
CUST-0530,South,2024-03-03,245.53,10,0
CUST-0531,North,2023-08-09,98.08,17,0
CUST-0532,South,2023-01-11,775.81,24,0
CUST-0533,East,2023-07-04,243.53,18,1
CUST-0534,East,2024-06-01,508.65,7,0
CUST-0535,West,2023-01-20,740.65,23,0
CUST-0536,West,2023-11-06,108.18,14,0
CUST-0537,North,2023-07-06,856.41,18,0
CUST-0538,West,2024-07-27,215.98,5,1
CUST-0539,North,2024-04-26,41.45,8,0
CUST-0540,West,2024-10-13,88.53,2,0
CUST-0541,East,2023-11-28,818.28,13,0
CUST-0542,South,2023-08-29,113.05,16,0
CUST-0543,North,2023-01-13,239.29,23,0
CUST-0544,North,2024-02-01,759.01,11,0
CUST-0545,North,2024-06-03,653.40,7,1
CUST-0546,South,2024-04-14,829.91,8,0
CUST-0547,South,2024-04-24,49.33,8,0
CUST-0548,North,2023-09-30,163.98,15,0
CUST-0549,East,2023-07-05,419.46,18,1
CUST-0550,North,2024-02-22,228.53,10,0
CUST-0551,South,2024-05-21,377.17,7,0
CUST-0552,North,2024-07-16,793.56,5,0
CUST-0553,North,2024-01-24,233.48,11,0
CUST-0554,North,2024-03-11,122.53,9,0
CUST-0555,North,2024-01-31,456.67,11,0
CUST-0556,North,2023-07-26,657.21,17,0
CUST-0557,South,2023-05-28,209.86,19,0
CUST-0558,East,2024-02-29,845.77,10,1
CUST-0559,East,2024-03-12,634.76,9,0
CUST-0560,East,2023-01-29,169.10,23,0
CUST-0561,North,2024-02-13,337.21,10,0
CUST-0562,North,2023-02-26,770.26,22,0
CUST-0563,West,2024-07-10,621.73,5,0
CUST-0564,West,2024-09-10,445.86,3,0
CUST-0565,West,2024-12-19,223.06,0,0
CUST-0566,South,2023-07-04,360.76,18,0
CUST-0567,North,2023-03-29,81.10,21,0
CUST-0568,East,2024-06-29,237.13,6,0
CUST-0569,West,2024-08-16,879.59,4,0
CUST-0570,North,2023-07-07,710.86,18,0
CUST-0571,West,2023-09-01,331.60,16,0
CUST-0572,North,2024-04-04,837.23,9,1
CUST-0573,North,2024-07-22,165.49,5,1
CUST-0574,East,2023-03-12,588.46,22,0
CUST-0575,South,2023-12-17,524.78,12,0
CUST-0576,West,2023-07-26,887.82,17,1
CUST-0577,North,2024-03-25,369.56,9,0
CUST-0578,East,2024-10-25,483.26,2,0
CUST-0579,North,2023-09-08,427.09,16,0
CUST-0580,North,2023-12-08,192.86,13,0
CUST-0581,East,2024-09-22,480.34,3,0
